Date,Open,High,Low,Close,Volume,Adj Close
2004-10-27,93.28,96.30,93.00,96.10,4620900,93.29
2004-10-26,92.80,94.78,92.80,93.76,3445400,91.02
2004-10-25,91.75,92.71,91.11,92.42,3019600,89.72
2004-10-22,93.02,93.74,92.01,92.70,3515900,89.99
2004-10-21,92.00,93.85,91.98,93.47,4023000,90.74
2004-10-20,92.11,92.69,90.74,92.34,3934700,89.40
2004-10-19,94.25,95.00,92.60,93.06,4144600,90.10
2004-10-18,94.16,94.45,93.09,94.25,2572100,91.25
2004-10-15,93.70,94.32,93.09,94.16,3188100,91.16
2004-10-14,94.00,94.16,92.40,92.93,3915000,89.97
2004-10-13,95.00,95.25,94.19,94.72,2924600,91.71
2004-10-12,93.25,94.80,93.24,94.59,2613100,91.58
2004-10-11,94.80,94.91,94.04,94.14,1624700,91.14
2004-10-08,94.85,95.50,93.91,94.24,3029400,91.24
2004-10-07,95.00,95.42,94.36,94.85,2758300,91.83
2004-10-06,94.07,95.66,93.75,95.53,3445200,92.49
2004-10-05,94.95,95.10,93.79,94.07,3938300,91.08
2004-10-04,94.80,95.45,94.44,94.87,3640600,91.85
2004-10-01,93.46,94.69,93.34,93.92,3184800,90.93
2004-09-30,93.35,93.57,92.45,93.24,2721700,90.27
2004-09-29,93.06,93.47,92.40,93.28,3005900,90.31
2004-09-28,92.75,93.24,91.77,93.06,2806600,90.10
2004-09-27,93.48,93.49,92.12,92.75,3414700,89.80
2004-09-24,93.67,93.77,92.84,93.48,2614100,90.50
2004-09-23,92.50,93.64,92.50,93.07,4313900,90.11
2004-09-22,93.08,94.18,92.50,93.39,6459600,90.42
2004-09-21,93.00,94.96,92.75,94.90,6120400,91.88
2004-09-20,91.00,92.12,90.97,91.68,3017600,88.76
2004-09-17,93.29,93.46,91.81,92.05,2890900,89.12
2004-09-16,92.65,93.62,92.40,93.16,2530000,90.20
2004-09-15,94.00,94.01,92.41,92.41,2768000,89.47
2004-09-14,93.28,94.25,92.90,94.10,2900100,91.11
2004-09-13,93.40,93.60,92.77,93.60,2957800,90.62
2004-09-10,91.87,93.23,91.70,93.13,2846100,90.17
2004-09-09,92.10,92.16,90.61,91.87,3081200,88.95
2004-09-08,92.29,92.55,91.36,91.44,2901400,88.53
2004-09-07,91.20,92.78,91.06,92.23,3903300,89.29
2004-09-03,91.06,91.72,90.00,90.20,1667700,87.33
2004-09-02,89.20,91.30,88.89,91.06,2361400,88.16
2004-09-01,89.85,90.50,88.95,89.19,1913900,86.35
2004-08-31,89.56,89.81,88.46,89.65,2403900,86.80
2004-08-30,90.23,90.35,89.01,89.15,1824400,86.31
2004-08-27,91.12,91.20,90.17,90.48,1642400,87.60
2004-08-26,89.93,91.57,89.76,91.12,3366000,88.22
2004-08-25,87.78,90.25,87.56,90.03,4104300,87.16
2004-08-24,88.15,88.37,87.46,87.53,2371300,84.74
2004-08-23,87.81,88.34,87.28,87.50,4164200,84.72
2004-08-20,86.60,88.07,86.38,87.81,2651200,85.02
2004-08-19,87.31,87.69,85.95,86.60,2669200,83.84
2004-08-18,86.30,87.50,86.06,87.44,2979700,84.66
2004-08-17,87.16,87.25,86.24,86.39,3122600,83.64
2004-08-16,84.25,86.29,84.25,85.82,2990100,83.09
2004-08-13,83.86,84.25,83.29,84.25,2533900,81.57
2004-08-12,84.65,85.20,83.40,83.86,4773500,81.19
2004-08-11,84.80,85.60,84.18,84.65,3995400,81.96
2004-08-10,84.70,85.53,84.27,85.31,5453300,82.59
2004-08-09,84.55,85.20,84.03,84.55,2916200,81.86
2004-08-06,85.00,86.15,84.20,84.55,5065600,81.86
2004-08-05,88.10,88.10,85.69,85.80,3203000,83.07
2004-08-04,87.35,88.45,86.75,87.65,3460200,84.86
2004-08-03,88.40,89.06,87.48,87.68,2726800,84.89
2004-08-02,87.78,88.64,87.33,88.44,3020400,85.63
2004-07-30,89.05,89.36,87.71,88.19,3706400,85.38
2004-07-29,89.65,90.05,89.08,89.69,3588700,86.84
2004-07-28,88.27,89.30,87.33,88.71,4273500,85.89
2004-07-27,87.03,88.98,87.02,88.79,4131900,85.96
2004-07-26,87.72,88.19,86.63,87.03,3805400,84.26
2004-07-23,86.81,88.20,86.81,87.55,3096600,84.76
2004-07-22,87.02,88.50,85.72,87.76,4883400,84.72
2004-07-21,89.70,90.70,87.40,87.42,4535400,84.40
2004-07-20,87.25,89.85,87.21,89.70,4131100,86.60
2004-07-19,87.50,88.13,86.67,87.50,3308600,84.47
2004-07-16,89.53,89.58,87.15,87.25,3562400,84.23
2004-07-15,90.20,90.21,88.11,88.33,3899700,85.28
2004-07-14,89.56,91.48,89.54,89.89,3447500,86.78
2004-07-13,90.00,90.85,89.19,90.36,3744000,87.23
2004-07-12,90.05,90.80,88.80,90.66,3509600,87.52
2004-07-09,90.70,90.98,90.01,90.05,2518900,86.94
2004-07-08,89.90,91.23,89.83,90.00,3493200,86.89
2004-07-07,91.60,91.80,90.42,90.57,4501900,87.44
2004-07-06,92.61,92.96,91.89,92.20,2603700,89.01
2004-07-02,93.85,93.97,92.50,93.61,3330600,90.37
2004-07-01,94.17,94.35,92.68,93.65,4569500,90.41
2004-06-30,94.00,94.85,93.56,94.16,4135600,90.90
2004-06-29,93.00,94.20,92.78,94.00,3359300,90.75
2004-06-28,95.15,95.15,92.81,93.26,4380100,90.03
2004-06-25,93.20,94.85,92.94,94.55,8047400,91.28
2004-06-24,92.25,94.17,91.75,93.19,5519100,89.97
2004-06-23,91.00,91.99,90.53,91.72,6149000,88.55
2004-06-22,88.35,91.16,87.68,90.60,8249500,87.47
2004-06-21,89.89,90.00,88.60,88.79,3217900,85.72
2004-06-18,89.00,90.25,88.70,89.18,3823000,86.10
2004-06-17,89.25,89.65,88.53,89.34,3500700,86.25
2004-06-16,90.49,90.98,89.39,89.98,4149900,86.87
2004-06-15,92.18,92.41,89.98,90.21,5510300,87.09
2004-06-14,92.15,92.15,90.64,91.53,3043300,88.36
2004-06-10,93.01,93.01,92.14,93.01,1702500,89.79
2004-06-09,94.01,94.07,92.37,93.00,1996500,89.78
2004-06-08,93.58,94.10,92.64,94.00,2949300,90.75
2004-06-07,92.35,93.70,92.06,93.58,3493300,90.34
2004-06-04,91.50,91.99,91.23,91.52,3165000,88.35
2004-06-03,91.78,91.80,90.27,90.55,4224700,87.42
2004-06-02,93.00,93.01,91.65,91.77,4320100,88.60
2004-06-01,93.80,93.90,91.75,93.00,4142600,89.78
2004-05-28,93.29,93.95,92.99,93.91,2425800,90.66
2004-05-27,94.20,94.30,92.16,93.29,4652200,90.06
2004-05-26,93.03,93.75,92.50,93.39,2978600,90.16
2004-05-25,91.73,93.26,90.80,93.11,3927500,89.89
2004-05-24,92.45,93.12,91.35,91.73,3687700,88.56
2004-05-21,92.62,93.25,91.45,91.74,4060800,88.57
2004-05-20,93.05,93.74,92.12,92.40,3904600,89.20
2004-05-19,94.75,94.82,92.60,92.68,4751400,89.47
2004-05-18,93.10,94.01,92.52,93.31,3325600,90.08
2004-05-17,92.80,93.19,91.45,92.68,4520600,89.47
2004-05-14,94.12,94.62,92.60,94.01,4569700,90.76
2004-05-13,93.12,94.69,92.65,93.45,4692400,90.22
2004-05-12,91.85,93.07,90.23,92.92,6639300,89.71
2004-05-11,92.25,93.11,91.63,93.11,5288200,89.89
2004-05-10,90.75,92.13,90.08,92.10,6861800,88.91
2004-05-07,94.50,95.50,92.88,93.04,5480900,89.82
2004-05-06,95.15,95.54,93.83,95.15,5482900,91.86
2004-05-05,97.50,98.25,95.74,96.15,4822000,92.82
2004-05-04,97.75,98.50,96.78,97.37,3875200,94.00
2004-05-03,96.95,97.56,96.21,96.92,3267000,93.57
2004-04-30,98.51,99.00,96.31,96.75,3462600,93.40
2004-04-29,98.92,99.84,97.60,98.26,3899400,94.86
2004-04-28,100.25,100.25,98.40,98.40,3360600,95.00
2004-04-27,100.55,102.07,100.55,100.91,1888400,97.42
2004-04-26,101.00,102.27,100.96,101.15,2243900,97.65
2004-04-23,101.05,101.07,99.81,100.41,3034500,96.94
2004-04-22,100.01,102.35,100.00,101.80,3700200,98.04
2004-04-21,100.25,100.65,99.15,100.00,4035800,96.30
2004-04-20,102.65,103.07,99.91,99.91,2761100,96.22
